platform,data_set_sizes,time_execution
qiskit,20,0.8806451320648193
qiskit,30,1.9224246501922608
qiskit,40,3.57169086933136
qiskit,50,5.437718629837036
qiskit,60,7.787516355514526
qiskit,70,10.572219753265381
qiskit,80,13.985590696334839
qiskit,90,17.6318852186203
qiskit,100,21.68857867717743
pennylane,20,2.5724188566207884
pennylane,30,5.906220936775208
pennylane,40,10.300407934188843
pennylane,50,15.954463529586793
pennylane,60,23.741102123260497
pennylane,70,31.245517206192016
pennylane,80,40.90981261730194
pennylane,90,51.60876362323761
pennylane,100,63.96951966285705
cirq,20,2.2910934686660767
cirq,30,5.1485079526901245
cirq,40,9.309775376319886
cirq,50,14.216738724708557
cirq,60,20.927866458892822
cirq,70,29.203538966178893
cirq,80,39.16308877468109
cirq,90,52.459799242019656
cirq,100,61.87590503692627
qulacs,20,0.0670496940612793
qulacs,30,0.15145745277404785
qulacs,40,0.2626398324966431
qulacs,50,0.40660462379455564
qulacs,60,0.5836582183837891
qulacs,70,0.826429009437561
qulacs,80,1.0472659111022948
qulacs,90,1.2999879837036132
qulacs,100,1.5893708705902099
qsimcirq,20,1.067159390449524
qsimcirq,30,2.34903085231781
qsimcirq,40,4.151657700538635
qsimcirq,50,6.410929846763611
qsimcirq,60,9.348003149032593
qsimcirq,70,13.434366178512573
qsimcirq,80,16.815380120277403
qsimcirq,90,20.831850814819337
qsimcirq,100,25.693742203712464
myQLM,20,9.549958801269531
myQLM,30,23.08072237968445
myQLM,40,39.19327626228333
myQLM,50,58.89148352146149
myQLM,60,88.67692024707794
myQLM,70,120.85748097896575
myQLM,80,160.29653742313386
myQLM,90,202.5195015668869
myQLM,100,252.43312528133393
qibojit,20,0.6130333185195923
qibojit,30,1.2673401594161988
qibojit,40,2.4053072214126585
qibojit,50,3.846634554862976
qibojit,60,5.434477305412292
qibojit,70,7.7185534000396725
qibojit,80,9.303286409378051
qibojit,90,11.52022726535797
qibojit,100,14.453915667533874
qpanda2,20,0.17222206592559813
qpanda2,30,0.38455235958099365
qpanda2,40,0.6762151479721069
qpanda2,50,1.0520474672317506
qpanda2,60,1.5037692785263062
qpanda2,70,2.058525562286377
qpanda2,80,2.6842313528060915
qpanda2,90,3.3941466093063353
qpanda2,100,4.219948148727417
